,LOAN_ID,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,ORIG_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST,F180_UPB_dum,F120_UPB_dum,F90_UPB_dum,F60_UPB_dum,F30_UPB_dum,time_arrears_tot,time_default,good_bad
11290,145000000000.0,6.25,229000,360,66,66,2.0,25.0,792.0,N,R,SF,1,P,NC,282,,798.0,N,None,01/10/2006,6.25,209379.1,16740,,,,,,,,,,0,01/11/2010,,,,,,,,,,,,0,,,,,0.0,0,0,,,792.0,346969.7,01/11/2010,P,,,,,,,0,0,0,0,0,0,0,1
11291,145000000000.0,6.25,60000,360,78,78,1.0,17.0,796.0,N,P,SF,1,P,TN,371,,,N,None,01/09/2006,6.25,53831.06,0,,,,,,,,,,0,01/01/2013,,,,,,,,,,,,0,,,,,0.0,0,0,,,796.0,76923.08,01/01/2013,P,,,,,,,0,0,0,0,0,0,0,1
17123,145000000000.0,6.35,192000,360,80,80,2.0,34.0,788.0,N,P,SF,1,P,OH,430,,787.0,N,None,01/08/2006,6.35,185077.02,18140,,,,,,,,,,0,01/04/2009,,,,,,,,,,,,0,,,,,0.0,0,0,,,787.0,240000.0,01/04/2009,P,,,,,,,0,0,0,0,0,0,0,1
17709,145000000000.0,6.375,324000,360,70,70,2.0,34.0,818.0,N,P,SF,1,I,WA,981,,813.0,N,None,01/09/2006,6.375,252001.8,42660,,,,,,,,,,0,01/04/2010,,,,,,,,,,,,0,,,,,0.0,0,0,,,813.0,462857.14,01/04/2010,P,,,,,,,0,0,0,0,0,0,0,1
17710,145000000000.0,6.375,54000,240,60,60,1.0,37.0,815.0,N,R,CO,1,P,OH,444,,,N,None,01/11/2006,6.375,47907.03,49660,,,,,,,,,,0,01/01/2011,,,,,,,,,,,,0,,,,,0.0,0,0,,,815.0,90000.0,01/01/2011,P,,,,,,,0,0,0,0,0,0,0,1
17711,145000000000.0,6.375,131000,360,64,64,2.0,28.0,795.0,N,P,SF,1,P,WI,530,,782.0,N,None,01/10/2006,6.375,127473.02,43100,,,,,,,,,,0,01/04/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,782.0,204687.5,01/04/2008,P,,,,,,,0,0,0,0,0,0,0,1
17712,145000000000.0,6.375,198000,360,92,92,2.0,35.0,783.0,N,P,SF,1,P,NM,870,17.0,753.0,N,BPMI,01/10/2006,6.375,181479.97,10740,,,,,,,,,,0,01/01/2013,,,,,,,,,,,,0,,,,,0.0,0,0,,,753.0,215217.39,01/01/2013,P,,,,,,,0,0,0,0,0,0,0,1
17713,145000000000.0,6.375,97000,360,44,44,2.0,43.0,649.0,N,C,PU,1,P,CO,815,,636.0,N,None,01/09/2006,6.375,,24300,,,,,,,,,,0,01/04/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,636.0,220454.55,01/04/2007,P,,,,,,,0,0,0,0,0,0,0,1
17714,145000000000.0,6.375,147000,360,79,79,2.0,43.0,802.0,N,R,PU,1,P,MO,647,,750.0,N,None,01/11/2006,6.375,135651.96,28140,,,,,,,,,,0,01/08/2012,,,,,,,,,,,,0,,,,,0.0,0,0,,,750.0,186075.95,01/08/2012,P,,,,,,,0,0,0,0,0,0,0,1
17715,145000000000.0,6.375,202000,348,62,62,2.0,55.0,764.0,N,P,SF,1,P,SC,294,,780.0,N,None,01/07/2006,6.375,,16700,,,,,,,,,,0,01/03/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,764.0,325806.45,01/03/2007,P,,,,,,,0,0,0,0,0,0,0,1
